Rank;PrimaryOutcomeMeasure;PrimaryOutcomeTimeFrame;OverallStatus;LastKnownStatus;LastUpdatePostDate
1;Relief degree of tumors;The last injection;Not yet recruiting,;February 28, 2023
2;Prevalence of solid tumors in RASopathies;5 years;Recruiting,;March 9, 2023
3;Solid tumor biological insights;Study completion;Completed,;June 12, 2014
4;Adverse Events(AE)|Objective Response Rate (ORR)|Disease Control Rate (DCR）|Duration of Response (DOR)|Progression-Free Survival (PFS)|Overall Survival (OS);6 month|Up to 36 months|Up to 36 months|Up to 36 months|Up to 36 months|Up to 36 months;Recruiting,;December 21, 2022
5;To Establish the Safety and Tolerability of Single-agent AZD1775 in Patients With Refractory Solid Tumors|Establish the Safety and Tolerability of Single-agent AZD1775 in Patients With Refractory Solid Tumors|To Determine the Pharmacokinetics of AZD1775 in Patients With Refractory Solid Tumors.;Date treatment consent signed to date off study, approx.19 mo/8 d for A1, 3 mo/28 d for A2, 10 mo/28 d for A3, 2 mo/14 d for A4, 20 mo/24 d for A5, 10 mo/23 d for A6, 4 mo/23 d for A7, 14 mo/11 d for A8, 15 mo/24 d for A9, and 77 mo/6 d for A10.|Date treatment consent signed to date off study, approx.19 mo/8 d for A1, 3 mo/28 d for A2, 10 mo/28 d for A3, 2 mo/14 d for A4, 20 mo/24 d for A5, 10 mo/23 d for A6, 4 mo/23 d for A7, 14 mo/11 d for A8, 15 mo/24 d for A9, and 77 mo/6 d for A10.|Pre-Treatment (Baseline) and Cycle 1 Days 1 and 3 (Arms 3 and 7) or Days 1 and 5 (Arms 1-2, 5-6, and 8);Completed,;July 26, 2021
6;Identify exceptional responders with cancer to standard of care chemotherapy;9 years;Enrolling by invitation,;February 1, 2023
7;Maximum Tolerated Dose (MTD) in Participants With Any Solid Tumor (Phase Ib)|Clinical Benefit Rate for Patients With Advanced Breast Cancer (ABC) (Phase II);Up to 24 months|Up to 24 months;Completed,;February 3, 2021
8;Adverse events that are related to treatment;2 years;Unknown status;Recruiting;November 18, 2020
9;molecular profiling of solid tumors;5 years;Recruiting,;February 26, 2021
10;Maximum tolerated dose (MTD) or recommended clinical dose|Dose-limiting toxicity(DLT)|Incidence and degree of Adverse Events and Serious Adverse Events [Safety];Up to 16 weeks|Up to 16 weeks|Up to 100 weeks;Not yet recruiting,;May 3, 2022
11;Objective Response Rate (ORR) Following Treatment With DS-8201a in Participants With Advanced Solid Malignant Tumors (Dose Escalation and Dose Expansion Phases);From 6 months postdose of last participant up to 3 years 5 months;Active, not recruiting,;October 13, 2022
12;Percent of good quality tumor samples obtained;Once at study enrollment;Active, not recruiting,;October 12, 2022
13;ORR(Objective Response Rate);Up to three months;Unknown status;Enrolling by invitation;August 20, 2019
14;MTD of pioglitazone and carboplatin;Baseline, 6 Weeks;Completed,;May 13, 2016
15;Detecting specific cancer mutations in ctDNA isolated from plasma of stage IV cancer patients at HCC.|Changes in patients' ctDNA longitudinal samples through treatment, and when available, of primary tumor and metastasis.;24 months|24 months;Completed,;January 31, 2020
16;Determine the maximum tolerated dose and dose-limiting toxicity of irinotecan and capecitabine when given in combination with a fixed dose of oxaliplatin in patients with advanced solid tumors.;Treatment cycle is four weeks, repeated every six weeks in the absence of disease progression or unacceptable toxicity.;Completed,;June 11, 2010
17;Number of patients with serious and non-serious adverse events;From screening to safety follow-up (30 days after last dose);Terminated,;September 2, 2022
18;Determine the MTD and DLT(s) of G-202 administered by intravenous infusion daily for 3 consecutive days on a 28-day cycle in patients with advanced solid tumors.|Establish the recommended dose of G-202 to be used in Phase II studies.|Determine the pharmacokinetics of G-202 administered by intravenous infusion daily for 3 consecutive days on a 28-day cycle in patients with advanced solid tumors.;2 years|2 years|2 years;Completed,;December 10, 2015
19;Disease response measured with consistent imaging utilizing the Response Evaluation Criteria in Solid Tumors (RECIST) v 1.1|Incidence and severity of study treatment-related adverse events measured by the Common Terminology Criteria for Adverse Events (CTCAE) v. 5;12 months|12 months;Recruiting,;March 31, 2022
20;To determine the recommended phase 2 dose (RP2D) of the combination of regorafenib and of sildenafil when given to patients with advanced solid tumors.;28 days;Completed,;February 20, 2020
21;Objective Response Rate(ORR);up to 36 months;Recruiting,;April 29, 2019
22;Recommended Phase 2 dose(RP2D) (Applicable for: phase I stage in various solid tumor types).|Disease control rate (Applicable for: phase II in cohorts of Colorectal Cancer, Nasopharyngeal Carcinoma and Non-Small Cell Lung Cancer) .;21 days.|18-24months.;Recruiting,;October 19, 2022
23;Occurrence of dose limiting toxicities (DLTs) within a patient during the DLT evaluation period in Part 1.|Occurrence of treatment emergent adverse event (TEAE) within a patient including Grade ≥3, serious, fatal TEAE by relationship.|Occurrence of dose reduction and discontinuation of investigational medicinal product (IMP) within a patient due to TEAE.;up to 21 days|through study completion, an average of 6 months|through treatment completion, an average of 4 months;Recruiting,;March 2, 2023
24;Determine the maximum tolerated dose of docetaxel, cisplatin, and capecitabine in patients with advanced solid tumors.;Every 21 days;Completed,;January 13, 2014
25;Two-year progression-free survival in patients with high-risk solid tumors;up to 2 years;Recruiting,;February 21, 2023
26;Illustration of the repartition of COVID+ patient severity (Low/Medium/Severe status) depending on cancer nature, stage and patient age.;At the end of Month 1;Completed,;June 2, 2021
27;To determine the safety and toxicity of nelfinavir in human subjects with solid tumors and to determine the maximum tolerated dose in this group of patients.,;Completed,;December 17, 2019
28;Summary of Objective Response Rate Following Oral Administration of DS-2248 in Participants With Advanced Solid Tumors;Baseline up to disease progression, discontinuation of study, or death, up to 2 years 11 months;Terminated,;October 5, 2021
29;safety profile of combination of Talazoparib and Selinexor in advanced/ metastatic solid tumors using NCI CTCAE toxicity grading version 5.0.;5 years;Recruiting,;September 5, 2021
30;To evaluate the safety and tolerability and describe the maximum tolerated dose (MTD) of treatment with escalating doses of sorafenib in combination with bevacizumab and paclitaxel for patients with advanced solid tumors.;baseline through end of treatment;Completed,;September 25, 2017
31;Determination of Recommended Phase 2 Dose (RP2D);28 Days;Recruiting,;September 23, 2022
32;To determine the toxicities and the maximum tolerated doses of dasatinib when combined with cetuximab for the treatment of advanced solid tumors;Anticipated completion date December 2008;Completed,;May 28, 2015
33;The Maximum Tolerated Dose (MTD) in the Combination of MLN0128 and Alisertib in Patients With Advanced Solid Tumors Measured by Treatment Adverse Events as Assessed by the CTCAE v4.03;Up to 28 days;Completed,;July 25, 2022
34;Number of Participants With Dose Limiting Toxicities (DLTs)|Maximum Tolerated Dose (MTD) of MK1775 in Combination With 5-FU/CDDP Determined by Number of DLTs Per Dose Level: Locally Advanced or Metastatic Esophageal, Head and Neck, or Gastric Cancer;Cycle 1 (21 days)|Cycle 1 (21 days);Terminated,;July 17, 2018
35;Evaluate the potential for QT/QTc interval prolongation of TH-302 in patients with solid tumors;2 years;Unknown status;Active, not recruiting;June 2, 2016
36;Determine maximum tolerated dose and anti-tumor activity of BMS-863233 when administered to subjects with advanced and/or Metastatic solid tumors;Every 28 days until the MTD is reached;Terminated,;October 12, 2015
37;Incidence of treatment-related adverse events as assessed by CTCAE v4.0;2 years;Unknown status;Recruiting;June 9, 2017
38;Overall survival (OS)|The number of additional technologies and new treatment strategies that are introduced in the care for advanced pediatric cancers through this research program.|The types of additional technologies and new treatment strategies that are introduced in the care for advanced pediatric cancers through this research program.;3 years|3 years|3 years;Recruiting,;January 20, 2023
39;Safety of infusion of autologous CTLA-4 and PD-1 antibodies expressing MUC1-targeted CAR-T cells;2 years;Unknown status;Recruiting;June 7, 2017
40;Percentage of Participants With Treatment-emergent Adverse Events (>10%) Classified by Preferred Term Following PLX3397 Administered in Combination With Paclitaxel (Parts 1 and 2) (Safety Population)|Percentage of Participants With TEAEs (>10%) Classified by Preferred Term Following PLX3397 Administered in Combination With Paclitaxel (Part 3) (Safety Population)|Best Overall Tumor Response Based on RECIST V1.1 Following PLX3397 Administered in Combination With Paclitaxel (Parts 1 and 2) (Efficacy Evaluable Population)|Best Overall Tumor Response Based on RECIST V1.1 Following PLX3397 Administered in Combination With Paclitaxel (Part 3) (Efficacy Evaluable Population);From post first dose up to 28 days after the last dose, up to 5 years 9 months|From post first dose up to 28 days after the last dose, up to 5 years 9 months|From post first dose up to 5 years 9 months post dose|From 26 days (CR and PR) and 54 days (SD) up to 5 years 9 months post dose;Completed,;July 16, 2020
41;Maximum tolerated dose|Dose-limiting toxicity;after initial 28 day cycle|Courses repeat every 28 days for up to 24 months in the absence of unacceptable toxicity.;Completed,;August 28, 2012
42;Incidence of MSI-H across different cancer types in Chinese patients;Two years;Unknown status;Recruiting;July 24, 2018
43;To determine the maximum tolerated dose (MTD) or appropriate target dose if MTD not reached to identify the recommended phase 2 dose of LOR-253 HCl in patients with advanced or metastatic solid tumours.;8 weeks;Completed,;February 25, 2014
44;Part 1 Dose Escalation: Incidence of treatment emergent adverse events (TEAEs)|Part 1 Dose Escalation: Severity of treatment emergent adverse events (TEAEs), according to the National Cancer Institute-Common Terminology Criteria for Adverse Events (NCI-CTCAE), version 5.0|Part 1 Dose Escalation: Recommended Phase 2 Dose (RP2D) of IMP7068 monotherapy|Part 2 Dose Expansion: Overall Response Rate (ORR);"Day 1 through to 30 days after last dose (approximately 4 cycles (84 days plus 30 day follow-up )); Each cycle is 21 days|Day 1 through to 30 days after last dose (approximately 4 cycles (84 days plus 30 day follow-up )); Each cycle is 21 days|Day 1 through to start of dose expansion phase (approximately 1 year)|Day 1 through 30 days after last dose, estimated to be 5 months";Recruiting,;February 24, 2023
45;Determine the recommended Phase 2 dose of 177Lu-FAP-2286 (Phase 1)|Objective response rate (ORR) (Phase 2);From first dose of study drug through at least 6-8 weeks after end of treatment (up to approximately 2 years)|From first dose of study drug until disease progression (up to approximately 2 years);Recruiting,;August 29, 2022
46;To determine the maximum tolerated dose (MTD)in subjects with advanced solid tumor|To determine DLT (Dose Limiting Toxicity) in subjects with advanced solid tumor;Each subject can be given up to 2 cycles of SCB01A. Each cycle will be 21 days.|Each subject can be given up to 2 cycles of SCB01A. Each cycle will be 21 days.;Completed,;October 19, 2017
47;Objective Response Rate (ORR) According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 evaluated by investigators.;From Baseline until disease progression (up to 2 years);Not yet recruiting,;December 29, 2021
48;Event free survival|Overall survival;6 months|6 and 12 months;Unknown status;Not yet recruiting;September 15, 2016
49;Maximum Tolerated Dose (MTD) of Ixazomib and Erlotinib in Advanced Cancer Participants;28 days;Active, not recruiting,;October 24, 2022
50;Urinary, fecal, and respiratory excretion of 14C from FTD and urinary and fecal excretion of 14C from TPI|PK parameters of total radioactivity (AUC0-inf, AUC0-last, Cmax, Tmax, and T1/2) in whole blood and plasma after a single dose of TAS-102|Metabolic profile of FTD and TPI in plasma, urine, and feces|PK parameters of FTD, FTY, and TPI in plasma (Cmax, Tmax, AUC0-last, AUC0-inf, T1/2, CL/F, and Vd/F);Day 1 through day 8 (through 168 hours postdose)|Blood will be collected immediately prior to dosing (0 hour) and at 30 minutes, 1, 2, 4, 8, 12, 24, 48, 72, 96, 120, 144 and 168 hours postdose|Blood will be collected immediately prior to dosing (0 hour) and at 30 minutes, 1, 2, 4, 8, 12, 24, 48, 72, 96, 120, 144 and 168 hours postdose. Urine and feces samples will be collected at 24-hour intervals through 168 hours postdose.|Blood will be collected immediately prior to dosing (0 hour) and at 30 minutes, 1, 2, 4, 8, 12, 24, 48, 72, 96, 120, 144 and 168 hours postdose.;Completed,;June 16, 2017
51;To determine the maximum tolerated dose (MTD) and to assess the safety and tolerability of GSK1363089 administered orally (up to twelve different doses) to subjects with solid tumors;3 years;Completed,;July 31, 2017
52;Phase 1: To determine the Recommended phase 2 dose (RP2D) of niraparib and neratinib in patients with advanced solid tumors|Phase 1b: To evaluate clinical benefit (≥4-month progression-free survival [PFS]) of niraparib and neratinib in patients with platinum-resistant ovarian cancer.;4 Months|4 months;Recruiting,;November 7, 2022
53;To determine the maximum tolerated dose (MTD) and to evaluate the safety and tolerability of daily oral administration of GSK1363089 in subjects with solid tumors;2 years;Completed,;July 26, 2017
54;Dose Limiting Toxicity|Adverse Event;up to Day 28|up to 24 months;Not yet recruiting,;December 14, 2022
55;To identify the dose limiting toxicities (DLTs), determine the maximum tolerated dose (MTD) and the recommended dose (RD) of PM01183 administered every three weeks intravenously (i.v.) over one hour to patients with advanced solid tumors.;Along the study;Completed,;November 4, 2015
56;The safety of ScTIL210;24 weeks post infusion;Recruiting,;July 16, 2021
57;Maximum Tolerated Dose (MTD) of perifosine monotherapy in children with cancer;conclusion of the study;Completed,;August 1, 2017
58;Incidence of treatment-related adverse events;up to 2 years;Unknown status;Not yet recruiting;August 11, 2016
59;To determine the maximum tolerated dose (MTD) and dose limiting toxicities (DLTs) of the combination of amrubicin and cyclophosphamide in patients with advanced solid tumors.;24 months;Completed,;December 23, 2015
60;To determine the safety, tolerability and recommended Phase 2 dose of ARQ 197 when administered in combination with erlotinib to patients with advanced solid tumors;No time frame;Completed,;July 23, 2012
61;Maximum Tolerated Dose (MTD);Day 1 to 28 ( Cycle 1);Unknown status;Recruiting;January 15, 2019
62;Determine perioperative PET/CT imaging combined with intraoperative use of handheld gamma probe is feasible during surgical procedure to resect malignancy.;up to five years;Completed,;April 4, 2016
63;ORR;up to approximately half past one year;Recruiting,;January 4, 2023
64;Incidence of treatment-related adverse events of infusion of autologous PD-1 antibody expressing mesothelin-targeted CAR-Tcells;2 years;Unknown status;Recruiting;August 3, 2018
65;To determine the safety of OMP-21M18 in subjects with previously treated solid tumors;continuous;Completed,;September 10, 2020
66;To determine the safety, maximum tolerated dose(MTD)of IPI-504 in combination with docetaxel in patients with advanced solid tumors and recommend the Phase II dose of the combination of drugs.;Weekly;Completed,;March 6, 2012
67;1. Tumor vessel identification (# tumor vessels visualized per high power field)|2. Tumor vessel density (# tumor vessels per square cm area observed)|3. Fluorescent dye uptake (# tumor vessels with fluorescent dye uptake and # tumor vessels without dye uptake)|4. Tumor blood flow (velocity, mm/sec);12-15 minutes|12-15 minutes|12-15 minutes|12-15 minutes;Recruiting,;April 5, 2022
68;Compare the proportion of patients for whom a genomically identified recommended therapy could be initiated using the large NGS panel from FoundationOne versus the limited CONTROL panel.;28 months;Completed,;May 9, 2022
